loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4155,1.9775651693344116,6.565299387081566e-06,2.0155600742639908,5700,,,,,,,,,
1.3505,2.2306735515594482,6.329561527581331e-06,2.0509238794094244,5800,,,,,,,,,
1.3462,2.061267852783203,6.093823668081095e-06,2.086287684554858,5900,,,,,,,,,
1.3305,2.200665235519409,5.858085808580859e-06,2.121651489700292,6000,,,,,,,,,
,,,2.121651489700292,6000,1.5271247625350952,65.8336,171.812,21.478,,,,,
1.3484,2.344632148742676,5.622347949080623e-06,2.1570152948457255,6100,,,,,,,,,
1.3613,2.066983222961426,5.386610089580388e-06,2.192379099991159,6200,,,,,,,,,
1.3644,2.20255970954895,5.150872230080152e-06,2.227742905136593,6300,,,,,,,,,
1.3306,2.165736675262451,4.915134370579916e-06,2.2631067102820266,6400,,,,,,,,,
1.3606,2.3729500770568848,4.67939651107968e-06,2.29847051542746,6500,,,,,,,,,
1.3256,2.0161960124969482,4.443658651579444e-06,2.3338343205728935,6600,,,,,,,,,
1.3525,2.1598665714263916,4.207920792079208e-06,2.369198125718327,6700,,,,,,,,,
1.3685,2.421215057373047,3.972182932578973e-06,2.404561930863761,6800,,,,,,,,,
1.3683,2.027137517929077,3.7364450730787366e-06,2.4399257360091946,6900,,,,,,,,,
1.2931,1.9973766803741455,3.5007072135785006e-06,2.4752895411546283,7000,,,,,,,,,
1.3284,1.9097263813018799,3.264969354078265e-06,2.510653346300062,7100,,,,,,,,,
1.3595,2.119765281677246,3.0292314945780295e-06,2.5460171514454957,7200,,,,,,,,,
1.3459,1.8951176404953003,2.7934936350777935e-06,2.5813809565909294,7300,,,,,,,,,
1.3495,2.255462646484375,2.557755775577558e-06,2.6167447617363626,7400,,,,,,,,,
1.3593,2.182499885559082,2.322017916077322e-06,2.6521085668817967,7500,,,,,,,,,
,,,2.6521085668817967,7500,1.526771903038025,65.9366,171.544,21.445,,,,,
1.3463,1.9563745260238647,2.0862800565770864e-06,2.68747237202723,7600,,,,,,,,,
1.3372,2.401279926300049,1.8505421970768506e-06,2.7228361771726637,7700,,,,,,,,,
1.3297,2.0578033924102783,1.6148043375766149e-06,2.7581999823180974,7800,,,,,,,,,
1.3481,2.3437042236328125,1.379066478076379e-06,2.793563787463531,7900,,,,,,,,,
1.3712,1.8757716417312622,1.1433286185761435e-06,2.8289275926089648,8000,,,,,,,,,
1.3447,2.1158761978149414,9.075907590759076e-07,2.8642913977543984,8100,,,,,,,,,
1.3629,2.3087544441223145,6.71852899575672e-07,2.899655202899832,8200,,,,,,,,,
1.3525,2.0037460327148438,4.361150400754362e-07,2.935019008045266,8300,,,,,,,,,
1.3599,2.0271899700164795,2.003771805752004e-07,2.9703828131906995,8400,,,,,,,,,
,,,3.0,8484,,,,,9047.7504,30.003,0.938,7.353721441537229e+16,1.5113784946511792
