loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
9.3348,,1.9717868338557994e-05,0.3524229074889868,10,,,,,
50.5839,,1.9404388714733544e-05,0.7048458149779736,20,,,,,
101.4656,,1.9090909090909094e-05,1.0352422907488987,30,,,,,
0.0,,1.877742946708464e-05,1.3876651982378854,40,,,,,
0.447,,1.846394984326019e-05,1.7400881057268722,50,,,,,
1909997.4,,1.815047021943574e-05,2.0704845814977975,60,,,,,
8.6454,,1.7836990595611286e-05,2.4229074889867843,70,,,,,
0.0,,1.7523510971786836e-05,2.7753303964757707,80,,,,,
298855.975,,1.7210031347962383e-05,3.105726872246696,90,,,,,
3339153.4,,1.6896551724137932e-05,3.458149779735683,100,,,,,
244182.2,,1.6583072100313482e-05,3.8105726872246697,110,,,,,
0.7607,,1.626959247648903e-05,4.140969162995595,120,,,,,
42826.7469,,1.595611285266458e-05,4.493392070484582,130,,,,,
3.1374,,1.564263322884013e-05,4.845814977973569,140,,,,,
11.4405,,1.5329153605015675e-05,5.176211453744493,150,,,,,
97150.6125,,1.5015673981191223e-05,5.52863436123348,160,,,,,
0.2404,,1.4702194357366773e-05,5.881057268722467,170,,,,,
101.8964,,1.4388714733542321e-05,6.211453744493392,180,,,,,
0.2159,,1.4075235109717868e-05,6.563876651982379,190,,,,,
3892.3066,,1.3761755485893418e-05,6.916299559471366,200,,,,,
87.8173,,1.3448275862068967e-05,7.246696035242291,210,,,,,
230.1244,,1.3134796238244516e-05,7.599118942731278,220,,,,,
464163.5,,1.2821316614420062e-05,7.951541850220265,230,,,,,
3996.0555,,1.2507836990595612e-05,8.28193832599119,240,,,,,
7.1178,,1.2194357366771162e-05,8.634361233480176,250,,,,,
0.3365,,1.188087774294671e-05,8.986784140969164,260,,,,,
9.995,,1.1567398119122257e-05,9.317180616740089,270,,,,,
0.0,,1.1253918495297806e-05,9.669603524229075,280,,,,,
0.2741,,1.0940438871473356e-05,10.0,290,,,,,
0.0,,1.0626959247648904e-05,10.352422907488986,300,,,,,
0.1209,,1.0313479623824451e-05,10.704845814977974,310,,,,,
262.0365,,1e-05,11.035242290748899,320,,,,,
8.5793,,9.686520376175549e-06,11.387665198237885,330,,,,,
0.1222,,9.373040752351097e-06,11.740088105726873,340,,,,,
218.9,,9.059561128526645e-06,12.070484581497798,350,,,,,
548892.8,,8.746081504702195e-06,12.422907488986784,360,,,,,
1395.2814,,8.432601880877743e-06,12.775330396475772,370,,,,,
2.3826,,8.119122257053292e-06,13.105726872246697,380,,,,,
228377.325,,7.80564263322884e-06,13.458149779735683,390,,,,,
0.0,,7.49216300940439e-06,13.810572687224669,400,,,,,
80712.7563,,7.178683385579938e-06,14.140969162995594,410,,,,,
0.0,,6.865203761755487e-06,14.493392070484582,420,,,,,
475.0217,,6.551724137931035e-06,14.845814977973568,430,,,,,
0.2493,,6.238244514106584e-06,15.176211453744493,440,,,,,
11.065,,5.924764890282132e-06,15.52863436123348,450,,,,,
0.0,,5.611285266457681e-06,15.881057268722467,460,,,,,
98.4244,,5.297805642633229e-06,16.211453744493394,470,,,,,
0.0,,4.9843260188087776e-06,16.56387665198238,480,,,,,
42235.925,,4.670846394984327e-06,16.916299559471366,490,,,,,
1.016,,4.357366771159875e-06,17.24669603524229,500,,,,,
81.3727,,4.043887147335424e-06,17.599118942731277,510,,,,,
0.0,,3.730407523510972e-06,17.951541850220263,520,,,,,
3505.1336,,3.4169278996865206e-06,18.281938325991188,530,,,,,
46340.6813,,3.103448275862069e-06,18.634361233480178,540,,,,,
14280.6031,,2.7899686520376178e-06,18.986784140969164,550,,,,,
124567.325,,2.4764890282131664e-06,19.31718061674009,560,,,,,
62938.4938,,2.163009404388715e-06,19.669603524229075,570,,,,,
5.5729,,1.8495297805642633e-06,20.0,580,,,,,
135.1404,,1.536050156739812e-06,20.352422907488986,590,,,,,
78408.475,,1.2225705329153605e-06,20.704845814977972,600,,,,,
2.08,,9.090909090909091e-07,21.035242290748897,610,,,,,
35.3918,,5.956112852664577e-07,21.387665198237887,620,,,,,
13434.9375,,2.821316614420063e-07,21.740088105726873,630,,,,,
,,,22.0,638,739.2659,26.932,0.863,5393444209950720.0,119925.850191499
